智能化	企业有智能化发展的相关计划，请简述。	智能制造,智能化,智能管理,智能工厂,智能物流,智能两化融合,大数据
违反政策法规	企业评价期内因违规行为受到国家或省部级相关部门的通报、批评或处罚，并请列出涉事企业或子分公司的具体名称。	违法,违规,违反排除含有无,未发生等文字的相关信息
利税贡献	资产总额（万元）	所得税费用
国际化发展	除经营活动外，请简述企业最为重要的国际合作、参加的国际组织、学术研究等等。	资产总额
循环利用，协同处理	企业将生产过程或社会上的废物作为替代性原料或燃料再次利用。	循环,回收,再利用,协同处理,循环经济
环境管理体系	企业建立了环境管理体系。	环境管理体系,ISO14001,环境管理,GB/T 24001环境管理体系
研发投入	研发投入在营业收入中的占比（%）	研发强度,研发占比,研发投入占比,研发投入占营业收入比例
可持续发展报告发布	请列出企业近三年发布的可持续发展报告，列出报告全称及发布机构，并请提供相关佐证资料或网页链接。	可持续发展,社会责任,环境社会管治,综合报告,SD,CSR,ESG,IRAND
职业健康和安全	企业有职业健康管理制度。	职业健康安全管理体系,OHSA18000,GB/T 28001,职业健康,安全防护,体检,健康教育,安全教育,安全培训
利税贡献	营业收入（万元）	纳税总额
多元化	有女性高管或女性员工。	少数民族
高管负面事件	企业高管（包括总公司党组成员、总经理、副总经理，以及一级分子公司的一把手）在评价期内是否有受到法律判决的高管腐败事件	高管党组成员,总经理,副总经理,腐败,受贿
职业健康管理问题	企业及下属公司在评价期内是否因职业健康管理事件受到国家或省部级相关部门的通报批评或处罚，请列出具体涉及公司名称及通报内容。	职业健康,职业病,职业伤害,因公死亡人数
污染防治成效	外排污染物是否达到政府的环保要求。	单位产值能耗,单位产品能耗
环境友好型产品	有环境友好产品的开发、生产规划或计划。	环境友好型,绿色产品,节能环保产品,环保产品,生态设计产品
诚信体系建设	企业有诚信管理体系和管理措施，请简要描述并附相关公开链接。	诚信,诚实守信,信用,违约,造假,偷税漏税,信用等级下降
新产品创效	新产品销售收入占主营业务收入的比重（%）	新产品占比
质量提升	企业有产品（包括服务）质量提升的管理制度、方法、标准，请提供相关佐证资料或网页链接。	质量提升,质量管理提升,提质,增效,质量改进,改善,完善,质量升级,严格执行标准,质量改进,产品优化,服务升级,分层,分级,产业结构调整,转型升级,高质量等级,高质量要求,高质量发展,先进体系,先进标准,高端产品,高附加值,提升服务水平,提升服务质量,产品合格率
新产品创效	新产品销售情况	新产品销售,新服务,新业务
投资者关系	企业有投资者关系维护的制度和措施，并请提供相关佐证资料或网页链接。	股东大会,公告,投资者关系,投资者沟通,股东大会,投资者意见,投资者建议,企业发展情况公告,投资者关系管理
水资源产出率	企业评价期内的新鲜水消耗量（万吨）或水资源费（税）(元）	水耗,水消耗量,新水消耗,新鲜水消耗,净水消耗量
终端回收体系	企业有废弃终端产品的回收制度，请简述。	废旧家电,汽车,轮胎,包装箱,饮料瓶,废弃物,报废产品回收
能源产出率	企业评价期内的能源消耗量（含一次能源和二次能源，吨标煤）	支付给职工的现金,为职工支付的现金
资源利用信息公开	企业公开主要资源的使用量（新鲜水、能源等资源使用量），并请提供相关佐证资料或网页链接。	综合能耗,能耗,能源消耗量,水耗,水消耗量,蒸汽,电量,水量,石油量,汽油量,柴油量,天然气量,千瓦时,标准煤,焦,节约,节水,节材,节电,节能
环境风险和危机管理	定期对环境风险进行识别。	环境风险,环境危机管理,环境突发事件,环境应急管理,环境风险,环境危机
市场占有率	企业主要产品（包括服务）评价期内的市场占有率（如：XXX产品在全球/全国/某地区的市场占有率，%）。	市场占有率,市占率,市场份额 ,份额占据,产量,销售量,销量,销售面积,销售收入,销售额,销售金额,销售总额,排名,行业第,贷款总额,占第,位列,行业前
慈善捐赠	企业过去三年的慈善捐赠（或社会支持资金）支出数额，请分别列出。	慈善,捐赠,捐献,救助,捐款,捐物,公益支出
